currency_pair,GCF,GMF
AUD/CAD,0.0,36134617.69
AUD/CHF,0.0,-3246050.0
AUD/JPY,0.0,20411338.39
AUD/USD,0.0,-80670831.28
CAD/JPY,0.0,-24000000.0
CAD/NOK,0.0,0.0
CAD/USD,0.0,539686.0
CHF/AUD,0.0,-8625000.0
CHF/EUR,0.0,35000000.0
CHF/JPY,0.0,-9000000.0
CHF/NOK,0.0,-10000000.0
CHF/USD,0.0,12497346.32
CNH/USD,0.0,111138000.0
CZK/USD,0.0,-11880800.0
EUR/AUD,-24000000.0,7500000.0
EUR/CAD,0.0,-84705.08
EUR/CHF,0.0,403086.55
EUR/CNH,0.0,0.0
EUR/CZK,0.0,-471474.31
EUR/GBP,0.0,-63383649.55
EUR/JPY,0.0,0.0
EUR/SGD,0.0,-20000000.0
EUR/USD,0.0,95423009.0
GBP/AUD,0.0,-18586788.01
GBP/CHF,0.0,-16000000.0
GBP/USD,0.0,-26440562.63
HKD/USD,0.0,46768730.21
JPY/KRW,0.0,0.0
JPY/USD,0.0,2457861376.0
NOK/USD,0.0,-65704840.0
SGD/USD,0.0,-923060.0
USD/AUD,0.0,14000000.0
USD/BRL,-8000000.0,-23789568.9
USD/CAD,0.0,-43581531.21
USD/CHF,0.0,41993895.52
USD/CLP,0.0,550715.03
USD/CNH,32000000.0,31829905.4
USD/CZK,0.0,1122717.03
USD/EUR,0.0,-18533110.73
USD/GBP,0.0,10244000.0
USD/HKD,0.0,6448371.72
USD/ILS,0.0,-1221629.46
USD/INR,-0.27,-39905017.05
USD/JPY,-17398453.03,33304666.93
USD/KRW,0.0,-8736894.72
USD/MXN,-40000000.0,-11629836.27
USD/NOK,0.0,-475260.25
USD/RUB,0.0,248559.02
USD/SEK,0.0,-528332.16
USD/SGD,-32000000.0,12370774.81
USD/THB,-8000000.0,-2676167.16
USD/TRY,0.0,113576.99
XAU/USD,0.0,0.0
