Currency_Pair,Tenor,Delta,Product,Mid,Bid,Ask,Spread
EURUSD,1M,ATM,ATM,8.18,7.955,8.405,0.4499999999999993
EURUSD,1M,5D,RR,-0.2775,-0.715,0.16,0.875
EURUSD,1M,10D,RR,0.34,0.07,0.61,0.54
EURUSD,1M,15D,RR,0.285,0.07,0.5,0.43
EURUSD,1M,25D,RR,0.1875,0.03,0.345,0.31499999999999995
EURUSD,1M,35D,RR,0.11,-0.025,0.245,0.27
EURUSD,1M,5D,BF,0.81,0.52,1.1,0.5800000000000001
EURUSD,1M,10D,BF,0.625,0.445,0.805,0.36000000000000004
EURUSD,1M,15D,BF,0.4225,0.275,0.57,0.29499999999999993
EURUSD,1M,25D,BF,0.1725,0.06,0.285,0.22499999999999998
EURUSD,1M,35D,BF,0.0525,-0.045,0.15,0.195
