Pair,Tenor,ATM_Vol,Security
USDJPY,6M,9.9625,USDJPYV6M Curncy
USDJPY,1Y,9.9175,USDJPYV1Y Curncy
AUDUSD,1M,9.03,AUDUSDV1M Curncy
AUDUSD,3M,9.2625,AUDUSDV3M Curncy
AUDUSD,6M,9.545,AUDUSDV6M Curncy
AUDUSD,1Y,9.9275,AUDUSDV1Y Curncy
USDCAD,1M,5.45,USDCADV1M Curncy
USDCAD,3M,5.525,USDCADV3M Curncy
USDCAD,6M,5.5425,USDCADV6M Curncy
USDCAD,1Y,5.6475,USDCADV1Y Curncy
USDCHF,1M,7.9125,USDCHFV1M Curncy
USDCHF,3M,8.1025,USDCHFV3M Curncy
USDCHF,6M,8.1425,USDCHFV6M Curncy
USDCHF,1Y,8.3075,USDCHFV1Y Curncy
NZDUSD,1M,8.99,NZDUSDV1M Curncy
NZDUSD,3M,9.375,NZDUSDV3M Curncy
NZDUSD,6M,9.605,NZDUSDV6M Curncy
NZDUSD,1Y,9.995,NZDUSDV1Y Curncy
EURGBP,1M,5.115,EURGBPV1M Curncy
EURGBP,3M,5.3325,EURGBPV3M Curncy
EURGBP,6M,5.57,EURGBPV6M Curncy
EURGBP,1Y,5.8,EURGBPV1Y Curncy
EURJPY,1M,7.915,EURJPYV1M Curncy
EURJPY,3M,8.29,EURJPYV3M Curncy
EURJPY,6M,8.695,EURJPYV6M Curncy
EURJPY,1Y,9.19,EURJPYV1Y Curncy
GBPJPY,1M,9.2575,GBPJPYV1M Curncy
GBPJPY,3M,9.4975,GBPJPYV3M Curncy
GBPJPY,6M,9.755,GBPJPYV6M Curncy
GBPJPY,1Y,10.2075,GBPJPYV1Y Curncy
EURUSD,1M,7.6375,EURUSDV1M Curncy
EURUSD,3M,7.5175,EURUSDV3M Curncy
EURUSD,6M,7.47,EURUSDV6M Curncy
EURUSD,1Y,7.495,EURUSDV1Y Curncy
GBPUSD,1M,7.77,GBPUSDV1M Curncy
GBPUSD,3M,7.7575,GBPUSDV3M Curncy
GBPUSD,6M,7.8675,GBPUSDV6M Curncy
GBPUSD,1Y,8.085,GBPUSDV1Y Curncy
USDJPY,1M,9.945,USDJPYV1M Curncy
USDJPY,3M,9.935,USDJPYV3M Curncy
